,Words,Translate
0,power-cut,отключение электроэнергии
1,accident,авария
2,exactly,именно
3,offer,предлагать
4,compliant,уступчивый
5,admit,признавать
6,burglars,взломщик
7,further,дальнейший
8,silly,глупый
9,mess,беспорядок
10,promise,обещать
11,trousers,брюки
12,source,источник
13,refinery,очистительный завод
14,inquiry,расследование
15,appreciate,ценить
16,seem,казаться
17,instead,вместо
18,wedding,свадьба
19,threat,угроза
20,fossil fuels,ископаемые виды топлива
21,involve,вовлекать
22,foresee,предвидеть
23,consume,поглощать
24,contribute,способствовать
25,encouraged,поощренный
26,dustbin,мусорный ящик
27,ashes,зола
28,nappies,подгузник
29,dispose,распоряжаться
30,responsibility,ответственность
31,attractive,привлекательный
32,commissioned,уполномоченный
33,impose,налагать
34,lay,положить
35,density,плотность
36,remain,оставаться
37,coughing,кашель
38,vulnerable,уязвимый
39,admit,признавать
40,excuse,предлог
41,fancy,фантазия
42,consider,считать
43,forgive,прощать
44,mention,упоминать
45,postpone,откладывать
46,prevent,препятствовать
47,resent,возмущаться
48,recollect,вспоминать
49,tolerance,толерантность
50,accustomed,привыкший
51,claimed,заявленный
52,omitted,опущенный
53,widespread,широко распространенный
54,endured,терпеть
55,filthy,мерзкий
56,span,промежуток
57,suffer,страдать
58,effort,усилие
59,disease,заболевание
60,crops,зерновые
61,opportunity,перспектива
62,quote,цитата
63,perceive,воспринимать
64,obvious,очевидный
65,sequence,последовательность
66,exaggerate,преувеличивать
67,neglect,пренебрегать
68,consequence,последствие
69,lopsidedness,однобокость
70,inherit,наследовать
71,distort,искажать
72,encounter,сталкиваться
73,diminish,умалять
74,regret,сожаление
75,prefer,предпочитать
76,cope,справиться
77,injured,получившее ранение
78,pity,жалость
79,upset,расстроенный
80,tease,дразнить
81,hire,прокат
82,spade,лопата
83,envelope,конверт
84,ripped,разорванный
85,fasten,скреплять
86,fence,забор
